Area,Room,Parking,Warehouse,Elevator,Price,Price(USD)
63,1,True,True,True,1850000000.0,61666.67
60,1,True,True,True,1850000000.0,61666.67
79,2,True,True,True,550000000.0,18333.33
95,2,True,True,True,902500000.0,30083.33
123,2,True,True,True,7000000000.0,233333.33
70,2,True,True,False,2050000000.0,68333.33
87,2,True,True,True,600000000.0,20000.0
59,1,True,True,True,2150000000.0,71666.67
54,2,True,True,False,493000000.0,16433.33
71,1,True,True,True,2370000000.0,79000.0
68,2,True,True,True,2450000000.0,81666.67
64,1,True,True,True,2100000000.0,70000.0
54,1,False,True,True,1690000000.0,56333.33
136,3,True,True,True,11000000000.0,366666.67
95,2,True,True,True,5000000000.0,166666.67
63,1,False,True,False,570000000.0,19000.0
155,3,True,True,True,6700000000.0,223333.33
64,2,False,True,False,1450000000.0,48333.33
140,3,True,True,True,6400000000.0,213333.33
42,1,False,True,False,1390000000.0,46333.33
93,2,True,True,True,7000000000.0,233333.33
87,2,True,True,True,2500000000.0,83333.33
65,1,True,True,True,1880000000.0,62666.67
99,2,True,True,True,2277000000.0,75900.0
105,2,True,True,True,7150000000.0,238333.33
160,3,True,True,True,14945000000.0,498166.67
77,2,True,True,True,1771000000.0,59033.33
123,2,True,True,True,4059000000.0,135300.0
110,2,True,True,True,630000000.0,21000.0
100,2,True,True,True,3200000000.0,106666.67
90,2,False,True,False,1500000000.0,50000.0
49,1,True,True,True,2200000000.0,73333.33
96,2,True,True,True,7872000000.0,262400.0
67,2,True,True,False,2350000000.0,78333.33
68,2,True,True,True,2500000000.0,83333.33
62,1,True,False,True,2150000000.0,71666.67
55,1,True,True,True,2150000000.0,71666.67
110,2,True,True,True,3750000000.0,125000.0
129,2,True,True,True,5250000000.0,175000.0
109,2,True,True,True,4830000000.0,161000.0
58,1,True,True,True,3400000000.0,113333.33
55,1,True,True,True,3850000000.0,128333.33
150,2,False,True,True,1200000000.0,40000.0
60,2,True,True,True,2650000000.0,88333.33
130,3,True,True,False,5000000000.0,166666.67
88,2,True,True,True,4750000000.0,158333.33
51,1,True,True,True,2980000000.0,99333.33
113,3,True,True,False,7000000000.0,233333.33
110,2,True,True,True,2035000000.0,67833.33
60,1,True,True,True,2460000000.0,82000.0
98,2,True,True,True,540000000.0,18000.0
62,2,False,False,True,1450000000.0,48333.33
150,3,True,True,True,10000000000.0,333333.33
75,2,False,False,False,635000000.0,21166.67
61,1,True,True,False,2030000000.0,67666.67
61,1,True,True,False,2030000000.0,67666.67
72,2,True,True,True,2350000000.0,78333.33
100,2,True,True,True,3000000000.0,100000.0
122,3,True,True,True,7200000000.0,240000.0
215,3,True,True,True,1750000000.0,58333.33
101,2,True,True,True,3300000000.0,110000.0
67,2,True,True,True,2800000000.0,93333.33
72,2,True,True,False,2200000000.0,73333.33
63,1,True,True,False,2200000000.0,73333.33
75,2,True,True,False,2200000000.0,73333.33
109,2,True,True,True,3500000000.0,116666.67
